Entity,Code,Year,Solar (TWh – sub method)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.033
Africa,,2001,0.041
Africa,,2002,0.049
Africa,,2003,0.058
Africa,,2004,0.07
Africa,,2005,0.083
Africa,,2006,0.104
Africa,,2007,0.137
Africa,,2008,0.193
Africa,,2009,0.252
Africa,,2010,0.554
Africa,,2011,1.559
Africa,,2012,2.561
Africa,,2013,2.02
Africa,,2014,4.931
Africa,,2015,9.087
Africa,,2016,12.876
Africa,,2017,17.256
Africa,,2018,20.617
Africa,,2019,27.008
Africa,,2020,30.612
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.024
Algeria,DZA,2011,0.047
Algeria,DZA,2012,0.069
Algeria,DZA,2013,0.073
Algeria,DZA,2014,0.153
Algeria,DZA,2015,0.147
Algeria,DZA,2016,0.616
Algeria,DZA,2017,1.26
Algeria,DZA,2018,1.499
Algeria,DZA,2019,1.523
Algeria,DZA,2020,1.48
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0
Argentina,ARG,1999,0
Argentina,ARG,2000,0
Argentina,ARG,2001,0
Argentina,ARG,2002,0
Argentina,ARG,2003,0
Argentina,ARG,2004,0
Argentina,ARG,2005,0
Argentina,ARG,2006,0
Argentina,ARG,2007,0
Argentina,ARG,2008,0
Argentina,ARG,2009,0
Argentina,ARG,2010,0
Argentina,ARG,2011,0.004
Argentina,ARG,2012,0.021
Argentina,ARG,2013,0.039
Argentina,ARG,2014,0.041
Argentina,ARG,2015,0.037
Argentina,ARG,2016,0.036
Argentina,ARG,2017,0.041
Argentina,ARG,2018,0.269
Argentina,ARG,2019,1.98
Argentina,ARG,2020,3.317
Asia Pacific,,1965,0
Asia Pacific,,1966,0
Asia Pacific,,1967,0
Asia Pacific,,1968,0
Asia Pacific,,1969,0
Asia Pacific,,1970,0
Asia Pacific,,1971,0
Asia Pacific,,1972,0
Asia Pacific,,1973,0
Asia Pacific,,1974,0
Asia Pacific,,1975,0
Asia Pacific,,1976,0
Asia Pacific,,1977,0
Asia Pacific,,1978,0
Asia Pacific,,1979,0
Asia Pacific,,1980,0
Asia Pacific,,1981,0
Asia Pacific,,1982,0
Asia Pacific,,1983,0
Asia Pacific,,1984,0
Asia Pacific,,1985,0
Asia Pacific,,1986,0
Asia Pacific,,1987,0
Asia Pacific,,1988,0
Asia Pacific,,1989,0
Asia Pacific,,1990,0.011
Asia Pacific,,1991,0.026
Asia Pacific,,1992,0.077
Asia Pacific,,1993,0.12
Asia Pacific,,1994,0.148
Asia Pacific,,1995,0.196
Asia Pacific,,1996,0.273
Asia Pacific,,1997,0.408
Asia Pacific,,1998,0.564
Asia Pacific,,1999,0.795
Asia Pacific,,2000,1.19
Asia Pacific,,2001,1.679
Asia Pacific,,2002,2.273
Asia Pacific,,2003,3.042
Asia Pacific,,2004,3.962
Asia Pacific,,2005,4.983
Asia Pacific,,2006,6.124
Asia Pacific,,2007,7.3
Asia Pacific,,2008,8.79
Asia Pacific,,2009,11.497
Asia Pacific,,2010,17.566
Asia Pacific,,2011,31.494
Asia Pacific,,2012,45.148
Asia Pacific,,2013,82.749
Asia Pacific,,2014,159.877
Asia Pacific,,2015,241.203
Asia Pacific,,2016,355.921
Asia Pacific,,2017,549.514
Asia Pacific,,2018,768.257
Asia Pacific,,2019,970.774
Asia Pacific,,2020,1160.283
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0.015
Australia,AUS,1992,0.034
Australia,AUS,1993,0.041
Australia,AUS,1994,0.048
Australia,AUS,1995,0.059
Australia,AUS,1996,0.071
Australia,AUS,1997,0.085
Australia,AUS,1998,0.099
Australia,AUS,1999,0.113
Australia,AUS,2000,0.13
Australia,AUS,2001,0.149
Australia,AUS,2002,0.16
Australia,AUS,2003,0.172
Australia,AUS,2004,0.197
Australia,AUS,2005,0.226
Australia,AUS,2006,0.261
Australia,AUS,2007,0.302
Australia,AUS,2008,0.367
Australia,AUS,2009,0.761
Australia,AUS,2010,2.549
Australia,AUS,2011,5.298
Australia,AUS,2012,6.213
