Entity,Code,Year,Fossil Fuels (TWh)
Africa,,1965,660.374
Africa,,1966,691.925
Africa,,1967,696.119
Africa,,1968,729.055
Africa,,1969,739.109
Africa,,1970,796.088
Africa,,1971,875.876
Africa,,1972,923.136
Africa,,1973,1001.571
Africa,,1974,1042.416
Africa,,1975,1103.511
Africa,,1976,1206.331
Africa,,1977,1263.307
Africa,,1978,1315.812
Africa,,1979,1445.936
Africa,,1980,1565.743
Africa,,1981,1752.171
Africa,,1982,1880.16
Africa,,1983,1947.711
Africa,,1984,2007.814
Africa,,1985,2073.619
Africa,,1986,2111.052
Africa,,1987,2198.916
Africa,,1988,2339.074
Africa,,1989,2337.125
Africa,,1990,2421.581
Africa,,1991,2403.493
Africa,,1992,2451.311
Africa,,1993,2465.769
Africa,,1994,2547.541
Africa,,1995,2648.019
Africa,,1996,2715.229
Africa,,1997,2764.456
Africa,,1998,2799.416
Africa,,1999,2883.659
Africa,,2000,2941.614
Africa,,2001,3045.207
Africa,,2002,3071.925
Africa,,2003,3235.96
Africa,,2004,3458.685
Africa,,2005,3496.219
Africa,,2006,3555.177
Africa,,2007,3688.106
Africa,,2008,3920.944
Africa,,2009,3991.859
Africa,,2010,4110.328
Africa,,2011,4118.669
Africa,,2012,4281.968
Africa,,2013,4390.588
Africa,,2014,4548.219
Africa,,2015,4639.514
Africa,,2016,4772.723
Africa,,2017,4867.187
Africa,,2018,4979.295
Africa,,2019,5051.763
Africa,,2020,4667.096
Algeria,DZA,1965,23.65
Algeria,DZA,1966,28.783
Algeria,DZA,1967,27.035
Algeria,DZA,1968,28.68
Algeria,DZA,1969,32.472
Algeria,DZA,1970,35.044
Algeria,DZA,1971,38.757
Algeria,DZA,1972,43.184
Algeria,DZA,1973,51.027
Algeria,DZA,1974,57.439
Algeria,DZA,1975,69.4
Algeria,DZA,1976,80.952
Algeria,DZA,1977,89.417
Algeria,DZA,1978,112.622
Algeria,DZA,1979,147.68
Algeria,DZA,1980,176.383
Algeria,DZA,1981,214.104
Algeria,DZA,1982,246.696
Algeria,DZA,1983,270.272
Algeria,DZA,1984,258.86
Algeria,DZA,1985,260.387
Algeria,DZA,1986,276.752
Algeria,DZA,1987,283.693
Algeria,DZA,1988,304.881
Algeria,DZA,1989,296.4
Algeria,DZA,1990,314.575
Algeria,DZA,1991,311.229
Algeria,DZA,1992,319.639
Algeria,DZA,1993,296.951
Algeria,DZA,1994,301.43
Algeria,DZA,1995,312.574
Algeria,DZA,1996,309.526
Algeria,DZA,1997,297.638
Algeria,DZA,1998,307.713
Algeria,DZA,1999,310.834
Algeria,DZA,2000,299.786
Algeria,DZA,2001,310.611
Algeria,DZA,2002,321.784
Algeria,DZA,2003,336.154
Algeria,DZA,2004,349.055
Algeria,DZA,2005,364.682
Algeria,DZA,2006,378.601
Algeria,DZA,2007,399.001
Algeria,DZA,2008,422.762
Algeria,DZA,2009,447.905
Algeria,DZA,2010,438.49
Algeria,DZA,2011,463.396
Algeria,DZA,2012,506.532
Algeria,DZA,2013,536.629
Algeria,DZA,2014,584.926
Algeria,DZA,2015,616.921
Algeria,DZA,2016,616.097
Algeria,DZA,2017,622.254
Algeria,DZA,2018,669.241
Algeria,DZA,2019,693.219
Algeria,DZA,2020,636.874
Argentina,ARG,1965,324.93
Argentina,ARG,1966,335.516
Argentina,ARG,1967,345.267
Argentina,ARG,1968,356.39
Argentina,ARG,1969,368.907
Argentina,ARG,1970,348.673
Argentina,ARG,1971,369.968
Argentina,ARG,1972,374.749
Argentina,ARG,1973,387.443
Argentina,ARG,1974,394.348
Argentina,ARG,1975,380.306
Argentina,ARG,1976,400.352
Argentina,ARG,1977,419.53
Argentina,ARG,1978,410.759
Argentina,ARG,1979,435.242
Argentina,ARG,1980,420.252
Argentina,ARG,1981,406.313
Argentina,ARG,1982,408.82
Argentina,ARG,1983,421.586
Argentina,ARG,1984,415.177
Argentina,ARG,1985,403.817
Argentina,ARG,1986,430.071
Argentina,ARG,1987,448.333
Argentina,ARG,1988,478.746
Argentina,ARG,1989,467.783
Argentina,ARG,1990,439.546
Argentina,ARG,1991,451.97
Argentina,ARG,1992,482.118
Argentina,ARG,1993,485.236
Argentina,ARG,1994,504.379
Argentina,ARG,1995,529.423
Argentina,ARG,1996,568.748
Argentina,ARG,1997,558.966
Argentina,ARG,1998,588.22
Argentina,ARG,1999,611.547
Argentina,ARG,2000,595.378
Argentina,ARG,2001,553.803
Argentina,ARG,2002,531.778
Argentina,ARG,2003,579.307
Argentina,ARG,2004,632.298
Argentina,ARG,2005,670.61
Argentina,ARG,2006,697.781
Argentina,ARG,2007,755.229
Argentina,ARG,2008,766.456
Argentina,ARG,2009,731.035
Argentina,ARG,2010,762.505
Argentina,ARG,2011,793.023
Argentina,ARG,2012,831.568
Argentina,ARG,2013,859
Argentina,ARG,2014,857.358
Argentina,ARG,2015,869.649
Argentina,ARG,2016,869.584
Argentina,ARG,2017,866.423
Argentina,ARG,2018,853.963
Argentina,ARG,2019,792.53
Argentina,ARG,2020,735.604
Asia Pacific,,1965,4757.154
Asia Pacific,,1966,5184.348
Asia Pacific,,1967,5477.969
Asia Pacific,,1968,5892.682
