Entity,Code,Year,Gas per capita (kWh)
Africa,,1965,29.811
Africa,,1966,32.505
Africa,,1967,31.327
Africa,,1968,30.957
Africa,,1969,35.267
Africa,,1970,42.703
Africa,,1971,49.346
Africa,,1972,64.442
Africa,,1973,100.629
Africa,,1974,110.291
Africa,,1975,129.351
Africa,,1976,143.1
Africa,,1977,155.766
Africa,,1978,216.184
Africa,,1979,321.348
Africa,,1980,392.358
Africa,,1981,466.305
Africa,,1982,489.518
Africa,,1983,523.213
Africa,,1984,487.307
Africa,,1985,508.257
Africa,,1986,555.124
Africa,,1987,557.152
Africa,,1988,600.562
Africa,,1989,605.483
Africa,,1990,632.42
Africa,,1991,620.437
Africa,,1992,633.955
Africa,,1993,605.166
Africa,,1994,617.387
Africa,,1995,643.055
Africa,,1996,658.441
Africa,,1997,629.497
Africa,,1998,646.444
Africa,,1999,636.788
Africa,,2000,686.601
Africa,,2001,763.792
Africa,,2002,787.745
Africa,,2003,815.716
Africa,,2004,876.07
Africa,,2005,881.71
Africa,,2006,898.559
Africa,,2007,935.099
Africa,,2008,947.385
Africa,,2009,929.248
Africa,,2010,944.15
Africa,,2011,995.008
Africa,,2012,1048.281
Africa,,2013,1042.037
Africa,,2014,1077.129
Africa,,2015,1120.521
Africa,,2016,1130.152
Africa,,2017,1165.23
Africa,,2018,1207.166
Africa,,2019,1187.545
Africa,,2020,1141.045
Algeria,DZA,1965,592.031
Algeria,DZA,1966,598.27
Algeria,DZA,1967,564.086
Algeria,DZA,1968,576.222
Algeria,DZA,1969,736.161
Algeria,DZA,1970,672.72
Algeria,DZA,1971,742.961
Algeria,DZA,1972,839.339
Algeria,DZA,1973,1136.817
Algeria,DZA,1974,1280.234
Algeria,DZA,1975,1715.47
Algeria,DZA,1976,1971.668
Algeria,DZA,1977,2041.829
Algeria,DZA,1978,3184.894
Algeria,DZA,1979,4371.766
Algeria,DZA,1980,5693.387
Algeria,DZA,1981,7175.923
Algeria,DZA,1982,7891.858
Algeria,DZA,1983,8374.381
Algeria,DZA,1984,7133.541
Algeria,DZA,1985,6856.767
Algeria,DZA,1986,7290.919
Algeria,DZA,1987,7246.805
Algeria,DZA,1988,7942.26
Algeria,DZA,1989,7276.398
Algeria,DZA,1990,7574.047
Algeria,DZA,1991,7298.835
Algeria,DZA,1992,7360.755
Algeria,DZA,1993,6460.667
Algeria,DZA,1994,6669.398
Algeria,DZA,1995,7031.883
Algeria,DZA,1996,7097.134
Algeria,DZA,1997,6523.898
Algeria,DZA,1998,6646.675
Algeria,DZA,1999,6697.783
Algeria,DZA,2000,6153.329
Algeria,DZA,2001,6273.856
Algeria,DZA,2002,6116.414
Algeria,DZA,2003,6382.682
Algeria,DZA,2004,6481.658
Algeria,DZA,2005,6743.95
Algeria,DZA,2006,6792.237
Algeria,DZA,2007,6843.07
Algeria,DZA,2008,7026.715
Algeria,DZA,2009,7418.314
Algeria,DZA,2010,7039.756
Algeria,DZA,2011,7309.311
Algeria,DZA,2012,7991.167
Algeria,DZA,2013,8421.978
Algeria,DZA,2014,9272.465
Algeria,DZA,2015,9545.537
Algeria,DZA,2016,9517.866
Algeria,DZA,2017,9534.505
Algeria,DZA,2018,10279.52
Algeria,DZA,2019,10485.036
Algeria,DZA,2020,9824.517
Argentina,ARG,1965,1860.771
Argentina,ARG,1966,1985.293
Argentina,ARG,1967,2045.633
Argentina,ARG,1968,2244.433
Argentina,ARG,1969,2202.822
Argentina,ARG,1970,2451.556
Argentina,ARG,1971,2605.275
Argentina,ARG,1972,2876.891
Argentina,ARG,1973,3221.037
Argentina,ARG,1974,3354.939
Argentina,ARG,1975,3383.818
Argentina,ARG,1976,3750.829
Argentina,ARG,1977,3859.16
Argentina,ARG,1978,3697.948
Argentina,ARG,1979,3745.419
Argentina,ARG,1980,4019.472
Argentina,ARG,1981,4135.232
Argentina,ARG,1982,4623.63
Argentina,ARG,1983,4892.074
Argentina,ARG,1984,5124.605
Argentina,ARG,1985,5152.764
Argentina,ARG,1986,5480.401
Argentina,ARG,1987,5398.206
Argentina,ARG,1988,6209.228
Argentina,ARG,1989,6425.23
Argentina,ARG,1990,6049.313
Argentina,ARG,1991,6073.903
Argentina,ARG,1992,6479.603
Argentina,ARG,1993,6753.378
Argentina,ARG,1994,6855.033
Argentina,ARG,1995,7536.37
Argentina,ARG,1996,8545.091
Argentina,ARG,1997,7783.838
Argentina,ARG,1998,8227.444
Argentina,ARG,1999,8629.702
Argentina,ARG,2000,8759.44
Argentina,ARG,2001,8111.208
Argentina,ARG,2002,7812.165
Argentina,ARG,2003,8829.341
Argentina,ARG,2004,9562.814
Argentina,ARG,2005,10101.846
Argentina,ARG,2006,10346.312
Argentina,ARG,2007,10763.004
Argentina,ARG,2008,10775.596
Argentina,ARG,2009,10334.169
Argentina,ARG,2010,10291.399
Argentina,ARG,2011,10609.704
Argentina,ARG,2012,10936.185
Argentina,ARG,2013,10908.069
Argentina,ARG,2014,10824.98
Argentina,ARG,2015,10830.448
Argentina,ARG,2016,11080.615
Argentina,ARG,2017,10992.992
Argentina,ARG,2018,10979.039
Argentina,ARG,2019,10397.233
Argentina,ARG,2020,9719.912
Australia,AUS,1965,2.605
Australia,AUS,1966,3.39
Australia,AUS,1967,3.303
Australia,AUS,1968,24.933
Australia,AUS,1969,329.621
Australia,AUS,1970,1352.611
Australia,AUS,1971,1981.619
Australia,AUS,1972,2799.293
Australia,AUS,1973,3504.286
Australia,AUS,1974,3947.061
Australia,AUS,1975,4187.091
Australia,AUS,1976,4885.091
Australia,AUS,1977,5518.414
Australia,AUS,1978,5875.716
Australia,AUS,1979,6686.689
Australia,AUS,1980,7585.888
Australia,AUS,1981,8116.839
Australia,AUS,1982,7809.556
Australia,AUS,1983,8363.139
Australia,AUS,1984,8125.274
Australia,AUS,1985,8551.809
Australia,AUS,1986,9192.943
Australia,AUS,1987,9231.492
Australia,AUS,1988,9299.241
Australia,AUS,1989,9984.199
Australia,AUS,1990,9891.137
Australia,AUS,1991,9355.922
Australia,AUS,1992,9560.279
Australia,AUS,1993,9798.984
Australia,AUS,1994,10763.067
Australia,AUS,1995,10749.456
Australia,AUS,1996,10711.081
Australia,AUS,1997,10404.256
Australia,AUS,1998,10596.281
Australia,AUS,1999,10737.635
Australia,AUS,2000,10823.351
Australia,AUS,2001,11549.732
Australia,AUS,2002,11759.396
Australia,AUS,2003,11717.345
Australia,AUS,2004,11797.801
Australia,AUS,2005,11526.601
Australia,AUS,2006,12638.948
Australia,AUS,2007,13874.243
Australia,AUS,2008,13376.425
Australia,AUS,2009,13395.548
Australia,AUS,2010,14311.396
Australia,AUS,2011,14550.429
Australia,AUS,2012,14391
Australia,AUS,2013,14910.376
Australia,AUS,2014,15773.983
Australia,AUS,2015,16210.522
Australia,AUS,2016,15608.695
Australia,AUS,2017,15096.598
Australia,AUS,2018,14389.114
Australia,AUS,2019,16700.659
Australia,AUS,2020,16038.754
Austria,AUT,1965,2399.492
Austria,AUT,1966,2559.907
Austria,AUT,1967,2437.649
Austria,AUT,1968,2584.687
Austria,AUT,1969,3119.149
Austria,AUT,1970,3764.919
Austria,AUT,1971,4305.326
Austria,AUT,1972,4633.851
Austria,AUT,1973,5075.705
