Entity,Code,Year,Oil per capita (kWh)
Africa,,1965,1022.446
Africa,,1966,1091.015
Africa,,1967,1055.404
Africa,,1968,1085.647
Africa,,1969,1072.72
Africa,,1970,1155.078
Africa,,1971,1272.063
Africa,,1972,1343.269
Africa,,1973,1407.242
Africa,,1974,1417.704
Africa,,1975,1444.003
Africa,,1976,1558.802
Africa,,1977,1605.675
Africa,,1978,1644.359
Africa,,1979,1705.255
Africa,,1980,1753.349
Africa,,1981,1811.985
Africa,,1982,1849.577
Africa,,1983,1857.718
Africa,,1984,1846.857
Africa,,1985,1836.605
Africa,,1986,1758.596
Africa,,1987,1804.217
Africa,,1988,1827.042
Africa,,1989,1841.907
Africa,,1990,1816.65
Africa,,1991,1774.423
Africa,,1992,1763.307
Africa,,1993,1732.75
Africa,,1994,1746.445
Africa,,1995,1763.592
Africa,,1996,1763.058
Africa,,1997,1766.739
Africa,,1998,1765.542
Africa,,1999,1786.671
Africa,,2000,1752.829
Africa,,2001,1727.016
Africa,,2002,1723.505
Africa,,2003,1728.566
Africa,,2004,1742.281
Africa,,2005,1801.448
Africa,,2006,1765.819
Africa,,2007,1783.345
Africa,,2008,1828.429
Africa,,2009,1851.9
Africa,,2010,1891.723
Africa,,2011,1792.686
Africa,,2012,1843.13
Africa,,2013,1861.654
Africa,,2014,1842.862
Africa,,2015,1858.029
Africa,,2016,1825.175
Africa,,2017,1792.204
Africa,,2018,1780.354
Africa,,2019,1757.671
Africa,,2020,1489.107
Algeria,DZA,1965,1227.425
Algeria,DZA,1966,1571.209
Algeria,DZA,1967,1426.894
Algeria,DZA,1968,1475.991
Algeria,DZA,1969,1515.173
Algeria,DZA,1970,1683.216
Algeria,DZA,1971,1845.051
Algeria,DZA,1972,1970.526
Algeria,DZA,1973,2094.254
Algeria,DZA,1974,2262.916
Algeria,DZA,1975,2446.497
Algeria,DZA,1976,2734.304
Algeria,DZA,1977,3003.29
Algeria,DZA,1978,3016.638
Algeria,DZA,1979,3502.755
Algeria,DZA,1980,3444.161
Algeria,DZA,1981,3597.764
Algeria,DZA,1982,3695.001
Algeria,DZA,1983,4022.983
Algeria,DZA,1984,4319.238
Algeria,DZA,1985,4304.387
Algeria,DZA,1986,4242.909
Algeria,DZA,1987,4168.394
Algeria,DZA,1988,4057.226
Algeria,DZA,1989,4139.885
Algeria,DZA,1990,4340.707
Algeria,DZA,1991,4190.376
Algeria,DZA,1992,4117.633
Algeria,DZA,1993,4007.704
Algeria,DZA,1994,3758.837
Algeria,DZA,1995,3586.589
Algeria,DZA,1996,3362.973
Algeria,DZA,1997,3282.909
Algeria,DZA,1998,3333.874
Algeria,DZA,1999,3229.504
Algeria,DZA,2000,3322.33
Algeria,DZA,2001,3394.921
Algeria,DZA,2002,3716.745
Algeria,DZA,2003,3817.68
Algeria,DZA,2004,3938.16
Algeria,DZA,2005,4048.707
Algeria,DZA,2006,4157.005
Algeria,DZA,2007,4577.23
Algeria,DZA,2008,4892.401
Algeria,DZA,2009,5098.069
Algeria,DZA,2010,5047.942
Algeria,DZA,2011,5243.325
Algeria,DZA,2012,5467.472
Algeria,DZA,2013,5599.785
Algeria,DZA,2014,5701.549
Algeria,DZA,2015,5944.134
Algeria,DZA,2016,5661.063
Algeria,DZA,2017,5448.581
Algeria,DZA,2018,5430.892
